id	pid	page_start	page_end	section_id	context	core
beps-a14-peer-review-documents-oecd-en-p007	p007	7	7	beps-a14-peer-review-documents-oecd-en	...eport (OECD, 2015[1]) mandated that the Committee on Fiscal Affairs (“CFA”) through its Workin g Party No. 1 on Tax Conventions and Related Que...	packs/beps-a14-peer-review-documents-oecd-en-pack-01.txt
beps-a14-peer-review-documents-oecd-en-p019	p019	19	19	beps-a14-peer-review-documents-oecd-en	...OECD, 2015[1]) was approved by the OECD Committee on Fiscal Affairs (“CFA”) in September, presented to the OECD Council and endorsed by the G20...	packs/beps-a14-peer-review-documents-oecd-en-pack-06.txt
beps-a14-peer-review-documents-oecd-en-p020	p020	20	20	beps-a14-peer-review-documents-oecd-en	...Associates in an extension of the OECD’s Committee on Fiscal Affairs (CFA) under the framework where BEPS Associates will work on an equal foot...	packs/beps-a14-peer-review-documents-oecd-en-pack-06.txt
beps-a14-peer-review-documents-oecd-en-p023	p023	23	23	beps-a14-peer-review-documents-oecd-en	... shall, where necessary, request the appropriate Working Party of the CFA to provide its view on the issue under dispute for the FTA MAP Forum’...	packs/beps-a14-peer-review-documents-oecd-en-pack-09.txt
beps-a14-peer-review-documents-oecd-en-p024	p024	24	24	beps-a14-peer-review-documents-oecd-en	...onnaire and supplementary questions), this will be highlighted to the CFA together with an explanation on why the FTA MAP Forum has been unable...	packs/beps-a14-peer-review-documents-oecd-en-pack-09.txt
beps-a14-peer-review-documents-oecd-en-p025	p025	25	25	beps-a14-peer-review-documents-oecd-en	...FTA MAP Forum Update Report on Stage 2 Peer Monitoring Reports by the CFA for publication 35. Following the approval of the FTA MAP Forum Updat...	packs/beps-a14-peer-review-documents-oecd-en-pack-10.txt
beps-a14-peer-review-documents-oecd-en-p028	p028	28	28	beps-a14-peer-review-documents-oecd-en	...timely manner where needed. b. It is clarified that references to the CFA are seen to mean the Inclusive Framework in connection with the adopt...	packs/beps-a14-peer-review-documents-oecd-en-pack-12.txt
beps-a14-peer-review-documents-oecd-en-p029	p029	29	29	beps-a14-peer-review-documents-oecd-en	...g process under Section II. d. It is clarified that references to the CFA are seen to mean the Inclusive Framework in connection with the adopt...	packs/beps-a14-peer-review-documents-oecd-en-pack-12.txt
beps-a14-peer-review-documents-oecd-en-p031	p031	31	31	beps-a14-peer-review-documents-oecd-en	...ews of countries and jurisdictions of relevance, as identified by the CFA, which have not joined the Inclusive Framework, will be agreed in due...	packs/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p033	p033	33	33	beps-a14-peer-review-documents-oecd-en	...re 3. Adoption of FTA MAP Forum report on Stage 1 Peer Reviews by the CFA for publication Source: OECD No Yes Publication of FTA MAP Forum Repo...	packs/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p034	p034	34	34	beps-a14-peer-review-documents-oecd-en	...tion of FTA MAP Forum Update report on Stage 2 Peer Monitoring by the CFA for ublication Source: OECD Draft Stage 2 Peer Monitoring Report of A...	packs/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p036	p036	36	36	beps-a14-peer-review-documents-oecd-en	... jurisdiction submits Update Report to FTA MAP Forum within 1 year of CFA’s adoption of its Stage 1 Peer Review report Members of FTA MAP Forum...	packs/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p037	p037	37	37	beps-a14-peer-review-documents-oecd-en	...or approval by the FTA MAP Forum and subsequently for adoption by the CFA for publication. Drafts reports should as much as possible follow a s...	packs/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p049	p049	49	49	beps-a14-peer-review-documents-oecd-en	...ECD, 2015[1]) was approved by the OECD Committee of Fiscal Affairs (“ CFA”) in September, presented to the OECD Council and endorsed by the G20...	packs/beps-a14-peer-review-documents-oecd-en-pack-16.txt
beps-a14-peer-review-documents-oecd-en-p068	p068	68	68	beps-a14-peer-review-documents-oecd-en	...ework arising from the proposals in the Committee on Fiscal Affairs' (CFA) 2007 report “Improving the Resolution of Tax Treaty Disputes”2 (“exi...	packs/beps-a14-peer-review-documents-oecd-en-pack-23.txt
beps-a14-peer-review-documents-oecd-en-p079	p079	79	79	beps-a14-peer-review-documents-oecd-en	...OECD, 2015[1]) was approved by the OECD Committee of Fiscal Affairs (“CFA”) in September, presented to the OECD Council and endorsed by the G20...	packs/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-best-practices-japan-2021-oecd-en-p003	p003	3	3	beps-a14-best-practices-japan-2021-oecd-en	2  CTPA/CFA/NOE2(2020)42 This document, as well as any data and map included here...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p008	p008	8	8	beps-a14-best-practices-japan-2021-oecd-en	...m Standard to make dispute resolution mechanisms more effective (CTPA/CFA/NOE2(2016)45/REV1).	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p028	p028	28	28	beps-a14-best-practices-japan-2021-oecd-en	...m Standard to make dispute resolution mechanisms more effective (CTPA/CFA/NOE2(2016)45/REV1)	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-07.txt
