id	pid	page_start	page_end	section_id	context	core
beps-a14-peer-review-documents-oecd-en-p035	p035	35	35	beps-a14-peer-review-documents-oecd-en	...Model assessment schedules for approval of peer review reports by the FTA MAP Forum Figure 6. Stage 1 Peer Review Source: OECD Minimum 6 weeks ...	packs/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p036	p036	36	36	beps-a14-peer-review-documents-oecd-en	... peers Minimum 6 weeks Assessed jurisdiction submits Update Report to FTA MAP Forum within 1 year of CFA’s adoption of its Stage 1 Peer Review ...	packs/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p037	p037	37	37	beps-a14-peer-review-documents-oecd-en	...draft outline for the Stage 1 Peer Review reports for approval by the FTA MAP Forum and subsequently for adoption by the CFA for publication. D...	packs/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p040	p040	40	40	beps-a14-peer-review-documents-oecd-en	...roval of an assessed jurisdiction’s Stage 1 Peer Review report by the FTA MAP Forum Source: OECD Members of FTA MAP ForumAssessed Jurisdiction ...	packs/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p041	p041	41	41	beps-a14-peer-review-documents-oecd-en	...l of an assessed jurisdiction’s Stage 2 Peer Monitoring report by the FTA MAP Forum Source: OECD Figure 14. Adoption of Stage 2 Peer Monitoring...	packs/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p042	p042	42	42	beps-a14-peer-review-documents-oecd-en	... and approval of an assessed jurisdiction’s peer review report by the FTA MAP Forum Source: OECD Members of FTA MAP Forum Assessed Jurisdiction...	packs/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p043	p043	43	43	beps-a14-peer-review-documents-oecd-en	...s Publication of Report Report Adopted? Chair(s) of the IF to request FTA MAP Forum to examine the objection or to discuss the objection at the...	packs/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p044	p044	44	44	beps-a14-peer-review-documents-oecd-en	...Model assessment schedules for approval of peer review reports by the FTA MAP Forum in the simplified peer review process (Continued Monitoring...	packs/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p045	p045	45	45	beps-a14-peer-review-documents-oecd-en	... peers Minimum 6 weeks Assessed jurisdiction submits Update Report to FTA MAP Forum within 2 years of IF’s adoption of its Stage 1 Peer Review ...	packs/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p046	p046	46	46	beps-a14-peer-review-documents-oecd-en	...Model assessment schedules for approval of peer review reports by the FTA MAP Forum in the full peer review process (Continued Monitoring) Figu...	packs/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p049	p049	49	49	beps-a14-peer-review-documents-oecd-en	... the other members of the Forum on Tax Administration MAP Forum (“the FTA MAP Forum”). 2. One of the elements of the minimum standard 1 require...	packs/beps-a14-peer-review-documents-oecd-en-pack-16.txt
beps-a14-peer-review-documents-oecd-en-p079	p079	79	79	beps-a14-peer-review-documents-oecd-en	... the other members of the Forum on Tax Administration MAP Forum (“the FTA MAP Forum”). 2. One of the elements of the minimum standard1 requires...	packs/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-best-practices-japan-2021-oecd-en-p006	p006	6	6	beps-a14-best-practices-japan-2021-oecd-en	...PA Advance Pricing Arrangement BEPS Baser Erosion and Profit Shifting FTA Forum on Tax Administration MAP Mutual Agreement Procedure OECD Organ...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p008	p008	8	8	beps-a14-best-practices-japan-2021-oecd-en	...ck by peers on how it has adopted best practices. In that regard, the FTA MAP Forum agreed on an optional best practices feedback form that pee...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p014	p014	14	14	beps-a14-best-practices-japan-2021-oecd-en	...areness Training Module developed by the Forum on Tax Administration (FTA) can be helpful in this respect. 24. Japan reported that the National...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
beps-a14-best-practices-japan-2021-oecd-en-p015	p015	15	15	beps-a14-best-practices-japan-2021-oecd-en	...tice and mentioned that Japan has been a committed partner within the FTA MAP Forum as also in the FTA’s Large Business Programme with a view t...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
