id	pid	page_start	page_end	section_id	context	core
p252-6.190	6.190	252	253	ch06	...資産 ・ パラグラフ 6.189 の HTVIの定義に当てはまる、関連会社へ一時金支払いによ り譲渡された無形資産 ・ CCA 又は類似の取決めに関連して使用されたか、当該取決め下で開発された 無形資産	packs/ch06-pack-07.txt
p280-8.1	8.1	280	280	ch08	8.1 本章は、二以上の関連者間の費用分担契約（CCA：Cost Contribution Arrangement）について論じる。本章の目的は、関連者により設定された CC...	packs/ch08-pack-00.txt
p280-8.2	8.2	280	281	ch08	8.2 B は、CCA の概念について一般的定義と概要を示し、C では、CCA への独立企 業原則の適用に関する指針を示す。C には、CCA ...	packs/ch08-pack-00.txt
p281-8.3	8.3	281	281	ch08	8.3 CCA は、無形資産、有形資産又は役務提供が、参加者の個々の事業に便益をも たらすと見込まれるとの理解の下、これらを共同で開発...	packs/ch08-pack-00.txt
p281-8.4	8.4	281	281	ch08	...約上の合意は、実際の取引の描写の出発点となる。この点、 機能分析により決定される責任とリスク、見込まれる成果物の配分が、CCA と他の 類型の契約上の取決めにおいて同じ場合、移転価格分析における差異はない。契約 上のリスクを引き受け負担者が、本ガ...	packs/ch08-pack-00.txt
p281-8.5	8.5	281	282	ch08	8.5 CCAの主要な特徴は、貢献の共有である。CCAに参加する時点で、独立企業原 則に従い、CCA に対する貢献全体に占める各参加者...	packs/ch08-pack-00.txt
p282-8.6	8.6	282	282	ch08	8.6 CCA 活動の便益の中には、事前に決定できるものもあるが、不確実なままのも のもある。CCA 活動の中には、現在の便益を生み出...	packs/ch08-pack-00.txt
p282-8.7	8.7	282	282	ch08	8.7 CCA は、（取引の税務上の結果は各国の国内法に基づいて決定されることに留 意しつつ）複数の取引を単純化する上で有用な場合もあ...	packs/ch08-pack-00.txt
p282-8.8	8.8	282	283	ch08	8.8 CCA の説明として、三つの企業がそれぞれ生産拠点を有して製造事業を運営し、 製造工程改善のための様々なプロジェクトにそれぞれ...	packs/ch08-pack-00.txt
p283-8.9	8.9	283	283	ch08	8.9 パラグラフ 8.4 で示したとおり、CCA における移転価格分析は、他の類型の契 約関係の分析と比較して、分析の枠組みに相違はない。第 1 章 D の指針は、関連...	packs/ch08-pack-00.txt
p283-8.10	8.10	283	284	ch08	8.10 一般的に見られる CCA の類型は、無形資産又は有形資産の共同開発、生産又 は取得のために設定された CCA（「開発 CCA」）と役務を受けるた...	packs/ch08-pack-00.txt
p284-8.11	8.11	284	284	ch08	8.11 開発 CCA の下では、各参加者は開発された無形資産又は有形資産に係る権利 の持分を享受することになる。無形資産に関しては、こうした...	packs/ch08-pack-00.txt
p284-8.12	8.12	284	284	ch08	8.12 CCA の条件が独立企業原則を満たすためには、参加者の貢献の価値は、その 契約から生じると合理的に期待される総期待収益の相対的...	packs/ch08-pack-00.txt
p284-8.13	8.13	284	285	ch08	...受け取る予定の期待収益全体に占める各参加者の相対的な持分と整 合的であることが、必要となる。したがって、独立企業原則を CCA に適用するため には、その契約の全参加者が便益を合理的に予測していることが必要な前提条件と なる。次に共同の活動に対す...	packs/ch08-pack-00.txt
p285-8.14	8.14	285	285	ch08	8.14 相互便益の概念は CCA の基本原理であることから、（CCA の対象となる活動 の全部又は一部を実行することからだけではなく）当事者が CCA ...	packs/ch08-pack-00.txt
p285-8.15	8.15	285	286	ch08	8.15 当事者が CCA において引き受けるリスクをコントロールせず、当該リスクを 引き受ける財務能力も有していない場合、当該当事者は実際に果た...	packs/ch08-pack-00.txt
p286-8.16	8.16	286	286	ch08	...加者が全く異なる種類の研究開発活動を行う場合、又はある当事者 が資産を提供し他の当事者が研究開発活動を行う場合のように、CCA の参加者が果 たす貢献が本質的に異なる場合にも、パラグラフ 6.64 の指針は等しく適用される。 これは、他の当事者に...	packs/ch08-pack-00.txt
p286-8.17	8.17	286	286	ch08	8.17 上記パラグラフで説明したように、CCA 参加者は、CCA 活動の全てを自身の 人員によって行う必要はない。場合によって、CCA の参加者は、上記パラグラフ	packs/ch08-pack-00.txt
p286-8.14	8.14	286	287	ch08	...者に該当しない別の企業に、対象活動に関する一定の機能を外部 委託することとするかもしれない。このような場合、参加者には、CCA において 個々に引受けたリスクをコントロールすることが求められる。これには、少なくと も一の CCA 参加者が外部委託...	packs/ch08-pack-00.txt
p287-8.18	8.18	287	287	ch08	8.18 CCA の活動が外部委託される場合、CCA 参加者に対する役務などの貢献に対 して、当事者へ独立企業間対価を支払うことが適切で...	packs/ch08-pack-00.txt
