id	pid	page_start	page_end	section_id	context	core
p181-4.170	4.170	181	181	ch04	4.170 1995 年に本ガイドラインが公表された後、極めて多くの OECD 加盟国が APA の経験を積んできている。これらの経験を有する国は、現在までのところ満足 しているように見える。したが...	packs/ch04-pack-06.txt
p181-4.171	4.171	181	181	ch04	...問題と同様、加盟国間での APA の形式及び対象に係る 問題を完全に解決し合意するためには、より多くの経験が必要である。OECD 租税 委員会は、APA の幅広い活用を慎重にモニタリングするとともに、APA を利用する 国における、実務上の継続性を...	packs/ch04-pack-06.txt
p183-4.178	4.178	183	183	ch04	4.178 OECD モデル租税条約の 2008 年改正において、CA が 2 年以内に合意に至る ことができなかった場合、当該事案を申し立...	packs/ch04-pack-07.txt
p195-5.50	5.50	195	195	ch05	...報告書を、対 象事業年度末日から 12 か月以内の 2018 年遅くに提出することが求められるだろ う。この勧告を受け、OECD／G20 BEPSプロジェクト参加国は、2016年 1月 1日前 開始の事業年度に関し、新たに策定された様式に基づく国別...	packs/ch05-pack-01.txt
p195-5.54	5.54	195	196	ch05	5.54 OECD／G20 BEPS プロジェクト参加国は、追加データや別データの必要性を 含め、上記パラグラフに規定した収入基準の妥当性...	packs/ch05-pack-01.txt
p197-5.61	5.61	197	198	ch05	...政執行共助条約、二 国間租税条約、及び TIEA）に基づき、かつ、金融口座情報の自動的情 報交換に関して G20 各国・OECD が策定した既存モデルの影響を受けた、 権限ある当局間合意（CAAs）が含まれる。 1 国別報告書が、二国間条約に基づい...	packs/ch05-pack-01.txt
p199-6.1	6.1	199	199	ch06	6.1 OECD モデル租税条約第 9 条に基づき、無形資産の使用又は移転において、二 の関連者間で、独立の企業の間に設けられる条件と異...	packs/ch06-pack-00.txt
p199-6.2	6.2	199	199	ch06	...第 6 章の目的は、無形資産の使用又は移転を伴う取引に関する独立企業間条件 を決定するため、特別の指針を示すことである。OECD モデル租税条約第 9 条は、 関連者間取引の条件に関するものであり、その取引を分類するものではない。その ため、主な検...	packs/ch06-pack-00.txt
p202-6.13	6.13	202	203	ch06	6.13 本章の指針は、移転価格上の問題のみを取り上げる。その他の税目的と関連づ けることは意図していない。例えば、OECD モデル租税条約第 12 条コメンタリーに は、同条の使用料の定義に関する詳細な考察が記載されている（パラグラフ 8-1...	packs/ch06-pack-00.txt
p225-6.86	6.86	225	225	ch06	...ているかを確認する上で有益となり得る典型的なシ ナリオについて示す。事例 19 参照。移転価格算定上の取引の特徴付けは、OECD モ デル租税条約第 12 条における決定とは何の関連性も有しない。OECD モデル租税条 約第12条に対する注釈のパラ...	packs/ch06-pack-03.txt
p238-6.136	6.136	238	238	ch06	6.136 事実によっては、複数の無形資産の移転が関わる関連者間取引の場合でも、 第 2 章で述べた 5 つの OECD 移転価格算定手法のいずれもが、最適な移転価格算定 手法となり得る。他の代替的な方法の使用も適切となり得る。	packs/ch06-pack-05.txt
p242-6.153	6.153	242	242	ch06	...クは、適切に使用されれば特に有用かもしれない。事実及び状況によって は、評価テクニックは、第 2 章で述べた 5 つの OECD 移転価格算定手法のいずれか の一形態として、又は独立企業間価格の算定に使用され得る手段として、納税者及 び税務当局に使...	packs/ch06-pack-06.txt
p245-6.162	6.162	245	245	ch06	...され、以下のパラグラフで 詳細に述べられているにも関わらず、状況によっては、こうした評価テクニックの 使用は、5 つの OECD 移転価格算定手法のうちの一つの算定手法の一部として又は 有効なツールとして、その他の移転価格算定手法に比べてより信頼性...	packs/ch06-pack-06.txt
p257-6.204	6.204	257	257	ch06	...又は役務提供で無形資 産の使用が関わる取引の場合であっても、信頼し得る比較対象があれば、第 2 章で 述べた 5 つの OECD 移転価格算定手法のうちのいずれもが、最適な移転価格算定手 法となり得る。	packs/ch06-pack-08.txt
p299-9.5	9.5	299	299	ch09	9.5 本章は、事業再編に係る移転価格の側面、つまり、OECD モデル租税条約第 9 条（特殊関連企業の課税）及び本ガイドラインの事業再編への適用等を対象とする。	packs/ch09-pack-00.txt
p299-9.6	9.6	299	299	ch09	...複雑さは、本ガイドラインで 認識されている（パラグラフ 1.10-1.11 参照）。こうした問題があるにもかかわらず、 OECD 加盟国は、独立企業原則及びこの原則の適用を描写するための努力を強く支 持していることを本ガイドラインは反映しており、そ...	packs/ch09-pack-00.txt
p299-9.7	9.7	299	299	ch09	9.7 本章は、OECD モデル租税条約第 9条の文脈における関連企業間の取引のみを 対象としており、同第 7 条に基づく単一企業内の帰属所得に...	packs/ch09-pack-00.txt
p300-9.9	9.9	300	300	ch09	...、再編 前の取引とで異なる形で適用されるものではなく、また、異なって適用されるべき ではないという前提から出発している。OECD モデル租税条約第 9 条及び独立企業 原則に関連する問題は、事業再編において設けられ又は課される条件であって独立 企業...	packs/ch09-pack-00.txt
p300-9.11	9.11	300	301	ch09	9.11 移転価格分析の目的は、OECD モデル租税条約第 9 条の下で、事業再編を構成 する取引に関して設けられ又は課されている条件が、独立企業間であれば設け...	packs/ch09-pack-00.txt
p307-9.34	9.34	307	308	ch09	...示する権利はない。ビジネス判 断に当たっては、租税も考慮要素の一つかもしれない。しかしながら、税務当局は、 条約、特に OECD モデル租税条約第 9 条の適用の下で、多国籍企業が採用した形式 の税務結果を決定する権利を有する。このことは、税務当局...	packs/ch09-pack-01.txt
p309-9.38	9.38	309	309	ch09	9.38 OECD モデル租税条約第 9 条に基づけば、税務上の恩典を受けるための事業 再編であるという事実それ自体から、当該取決めが独立...	packs/ch09-pack-01.txt
p331-9.118	9.118	331	331	ch09	9.118 このような前後比較に係る重要な論点の一つは、OECD モデル租税条約第 9 条に規定する非関連者間取引との比較を前提にすれば、再編後の関連者間取引にお いて稼得する収益と、...	packs/ch09-pack-04.txt
p336-10.5	10.5	336	337	ch10	10.5. OECD モデル租税条約第 9 条に関するコメンタリーでは、3(b)において、第 9 条は「貸付契約に定められる利子率が独立企業...	packs/ch10-pack-00.txt
p337-10.11	10.11	337	338	ch10	...約するものでは ない。それぞれの状況は、それぞれのメリットに基づき調査され、前パラグラフの 2 1986年11月26日にOECD理事会が採択した、租税委員会（CFA）の「過小資本」 に関する報告書において議論され、OECD MTC（モデル租税条約）...	packs/ch10-pack-00.txt
p490-3.2.2	3.2.2	490	503	ch05-app04	...様式を踏まえた形で、当該法に基づ き報告が義務付けられる情報が記載されたものをいう。 j） 「2015 年報告書」とは、OECD／G20 税源浸食と利益移転に関する行動 計画の行動 13報告書（「移転価格文書化と国別報告」）をいう。 2. 本国の ...	packs/ch05-app04-pack-01.part-01.txt
