id	pid	page_start	page_end	snippet	core
p352-10.81	10.81	352	352	また、特定のグループメンバー又は債券発行に対する信用格付けを推定する ための確立されたアプローチが存在するとはいえ、上記で詳述した検討は、公	packs/ch10-pack-02.txt
p352-10.82	10.82	352	352	これが該当する場合、多国籍企業グループの信用格付けは、特に、パラグラ フ 10.78 及び 10.79 に説明されているように当該多国籍企業	packs/ch10-pack-02.txt
p352-10.83	10.83	352	352	融資契約のコベナンツの目的は、一般的に、貸手に対する一定の保護を提供 し、リスクを限定することである。この保護は、追加負担制限コベナンツ、又	packs/ch10-pack-02.txt
p352-10.84	10.84	352	352	追加負担制限コベナンツは、借手が特定の行動を行うことを求めるか、又は 貸手の同意なしにそれらを行うことを禁止するものである。追加負担制限コベ	packs/ch10-pack-02.txt
p352-10.85	10.85	352	353	維持コベナンツは、通常、コベナンツ付きの融資の継続期間において、事前 に定められた定期的な間隔で満たす必要がある財務指標を意味する。維持コベ	packs/ch10-pack-02.txt
p353-10.86	10.86	353	353	グループ内においては、非関連当事者が関与する状況と比較し、事業体間で の情報の非対称性が低い（つまり、より可視性が高い）可能性がある。グルー	packs/ch10-pack-02.txt
p353-10.87	10.87	353	353	別の当事者からの保証が、借手の信用を支援するために使用される場合があ る。単独又は複数の保証に信頼を置く貸手は、元の借手を評価した方法と同様	packs/ch10-pack-02.txt
p353-10.88	10.88	353	353	以下のパラグラフは、グループ内融資の価格設定について、様々なアプロー チを示している。その他の移転価格設定の状況と同様に、最も適切な方法の選	packs/ch10-pack-02.txt
p353-10.89	10.89	353	353	実際の取引が正確に描写されたら、融資の全ての諸条件及び比較可能性の要 素を考慮に入れ、借手の信用格付け又は特定の発行の格付けの検討に基づき、	packs/ch10-pack-02.txt
p353-10.90	10.90	353	354	金銭貸借市場が広範にわたって存在し、独立した借手と貸手の間におけるこ うした取引が頻繁に行われていることに加え、貸借市場に関する情報と分析が	packs/ch10-pack-02.txt
p354-10.91	10.91	354	354	検証対象の融資に対する独立企業間金利は、十分に類似した契約条件やその 他の比較可能な要素を有する融資を受けており、同一の信用格付けを有するそ	packs/ch10-pack-02.txt
p354-10.92	10.92	354	354	比較可能性のデータを探す上で、比較対象を必ずしも単独事業体に限定する 必要はない。潜在的に比較可能な借手が多国籍企業グループのメンバーであり	packs/ch10-pack-02.txt
p354-10.93	10.93	354	354	独立企業間金利は、比較可能な経済的特性を有する現実的な代替取引の収益 に基づくこともできる。事実と状況によって異なるが、グループ内融資に代わ	packs/ch10-pack-02.txt
p354-10.94	10.94	354	354	比較可能性の問題を検討する際、内部 CUP の可能性を見落とすべきではな い。	packs/ch10-pack-02.txt
p354-10.95	10.95	354	355	多国籍企業グループが外部債務について支払う平均金利が、内部 CUP とし て見なされる比較可能性要件を満たす可能性は低いが､借手又はその多国	packs/ch10-pack-02.txt
p355-10.96	10.96	355	355	融資の独立企業間価格設定を検討する上で、融資に関する手数料及び料金の 問題が発生する場合がある。独立した営利的貸手は、融資条件の一部として、	packs/ch10-pack-02.txt
p355-10.97	10.97	355	355	比較可能な非関連者間取引が存在しない場合、一定の状況において、グルー プ内融資の価格を設定するための代替手段として、資金コストによるアプロー	packs/ch10-pack-02.txt
p355-10.98	10.98	355	355	資金コスト・アプローチについて念頭に置くべき 1 つの検討事項は、市場で 活動しているその他の貸手との相対的な、貸手の資金コストを考慮して適	packs/ch10-pack-02.txt
p355-10.99	10.99	355	355	資金コスト・アプローチの適用には、借手にとって現実的に利用可能な選択 肢の考慮が必要となる。支配的な事実と状況に基づけば、借手である多国籍企	packs/ch10-pack-02.txt
p355-10.100	10.100	355	356	一部のグループ内取引において、資金が非関連者から借り入れられ、一連 の融資として、元の借手から最終的な借手までに、1 つ又は複数の関連仲介企	packs/ch10-pack-02.txt
p356-10.101	10.101	356	356	クレジット・デフォルト・スワップは、原金融資産に関連する信用リスク を反映している。比較対象取引として使用できる原資産に関する情報が存在しな	packs/ch10-pack-02.txt
p356-10.102	10.102	356	356	クレジット・デフォルト・スワップは、市場で取引されている金融商品と して、高レベルのボラティリティの影響を受ける場合がある。このボラティリテ	packs/ch10-pack-02.txt
p356-10.103	10.103	356	356	したがって、グループ内融資に関するリスクプレミアムを見積もるために クレジット・デフォルト・スワップを使用する場合、上記の状況を慎重に考慮し	packs/ch10-pack-02.txt
p356-10.104	10.104	356	356	一部の業界では、経済的モデルに基づき、独立企業間金利の代用となる金 利を構築することにより、グループ内融資の価格決を決定する。	packs/ch10-pack-02.txt
p356-10.105	10.105	356	357	最も一般的な経済的モデルでは、リスクフリー金利と融資の様々な側面（例 えば、デフォルトリスク、流動性リスク、予想インフレ率、満期日）に関係す	packs/ch10-pack-02.txt
p357-10.106	10.106	357	357	経済的モデルの結果に対する信頼性は、個別モデルに組み込まれたパラメ ーターと適用された前提条件によって異なる。グループ内融資の価格設定方法と	packs/ch10-pack-03.txt
p357-10.107	10.107	357	357	状況によっては、納税者は非関連銀行から「バンカビリティ」意見と呼ば れることもある意見書を提出し、銀行がその特定の企業に比較可能な融資をする	packs/ch10-pack-03.txt
p357-10.108	10.108	357	357	このような方法は実際の取引の比較に基づいていないため、比較可能性に 基づく独立企業アプローチからの乖離を意味するものとなるであろう。加えて留	packs/ch10-pack-03.txt
p357-10.109	10.109	357	357	キャッシュプールは、個別に存在する多数の銀行口座の残高を物理的又は 名目的に統合することによりキャッシュマネジメントの効率化を実現できるため	packs/ch10-pack-03.txt
p357-10.110	10.110	357	358	本節において、キャッシュプーリングとは短期流動性管理契約の一部とし てのキャッシュ残高のプーリングをいう。キャッシュプール契約は関連者間取引	packs/ch10-pack-03.txt
p358-10.111	10.111	358	358	キャッシュプーリング契約には物理的か概念的かの二つの基本タイプがあ るが、個別のビジネスニーズに合わせてそれら以外のバリエーションや組み合わ	packs/ch10-pack-03.txt
p358-10.112	10.112	358	358	一般的な物理的プーリング契約では、全てのプール・メンバーの銀行口座 残高はキャッシュプール・リーダーが保有する一つの集中口座に毎日移動される	packs/ch10-pack-03.txt
p358-10.113	10.113	358	358	概念的キャッシュプールでは、いくつかの貸付及び借入残高の統合により 得られる便益の一部を、参加メンバーの口座間で物理的に資金を移動せずに受け	packs/ch10-pack-03.txt
p358-10.114	10.114	358	359	資金の物理的移動がないため、概念的プールの運営に関する取引コストは 物理的プールの運営に要する取引コストよりも安くなる傾向にある。銀行が果た	packs/ch10-pack-03.txt
p359-10.115	10.115	359	359	キャッシュプーリング取引の正確な描写は、それぞれの場合における具体 的な事実と状況によるだろう。キャッシュプーリングが独立企業間で実施される	packs/ch10-pack-03.txt
p359-10.116	10.116	359	359	キャッシュプーリング契約を正確に描写するには、移転される残高に関す る事実と状況だけでなく、より広くプーリング契約全体の条件も考慮する必要が	packs/ch10-pack-03.txt
p359-10.117	10.117	359	359	キャッシュプール・メンバーは、より広範なグループ戦略の一環として流 動性の提供、メンバーが借入ポジションと貸出ポジションを取り得、その目的に	packs/ch10-pack-03.txt
p359-10.118	10.118	359	359	プーリング契約のどのメンバーも、その取引に参加すると次に最適な選択 肢よりも状況が悪化するのであれば取引に参加しないであろう。多国籍企業のキ	packs/ch10-pack-03.txt
p359-10.119	10.119	359	359	キャッシュプール取引の描写に関して、（第 1 章 D.8 節で述べたとおり） 意図的な協調的行動を通して生み出されるグループシナジーの結果、	packs/ch10-pack-03.txt
p359-10.120	10.120	359	360	パラグラフ 1.179で示したとおり、意図的な協調的グループ行動の結果とし て何が生じるかは、徹底した機能分析をしなければ算定することはでき	packs/ch10-pack-03.txt
p360-10.121	10.121	360	360	キャッシュプーリング契約のメリットの一つとして、貸付及び借入残高を 相殺する結果生じる支払金利の減少又は受取金利の増加を挙げることができる。	packs/ch10-pack-03.txt
