doc_id	jurisdiction	source_url	source_basename	is_synth	file	text_file	page_count
australia--synthesizedtextforjapan-australia-jp	Australia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Australia_JP.pdf	SynthesizedTextforJapan_Australia_JP.pdf	True	source/raw/australia--synthesizedtextforjapan-australia-jp.pdf	source/text/australia--synthesizedtextforjapan-australia-jp.txt	49
austria--20170131at-a	Austria	http://www.mof.go.jp/tax_policy/summary/international/press_release/20170131at_a.pdf	20170131at_a.pdf	False	source/raw/austria--20170131at-a.pdf	source/text/austria--20170131at-a.txt	60
belgium--20161012be-a	Belgium	http://www.mof.go.jp/tax_policy/summary/international/press_release/20161012be_a.pdf	20161012be_a.pdf	False	source/raw/belgium--20161012be-a.pdf	source/text/belgium--20161012be-a.txt	69
brazil--brazil1967-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1967_jp_en.pdf	Brazil1967_jp_en.pdf	False	source/raw/brazil--brazil1967-jp-en.pdf	source/text/brazil--brazil1967-jp-en.txt	48
brazil--brazil-st-jp	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil_ST_jp.pdf	Brazil_ST_jp.pdf	True	source/raw/brazil--brazil-st-jp.pdf	source/text/brazil--brazil-st-jp.txt	27
brazil--brazil1976-p-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1976_P_jp_en.pdf	Brazil1976_P_jp_en.pdf	False	source/raw/brazil--brazil1976-p-jp-en.pdf	source/text/brazil--brazil1976-p-jp-en.txt	11
brazil--brazil1976-en-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1976_EN_jp_en.pdf	Brazil1976_EN_jp_en.pdf	False	source/raw/brazil--brazil1976-en-jp-en.pdf	source/text/brazil--brazil1976-en-jp-en.txt	9
brazil--brazil1976-am-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1976_AM_jp_en.pdf	Brazil1976_AM_jp_en.pdf	False	source/raw/brazil--brazil1976-am-jp-en.pdf	source/text/brazil--brazil1976-am-jp-en.txt	2
canada--canada1986-jp-en	Canada	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Canada1986_jp_en.pdf	Canada1986_jp_en.pdf	False	source/raw/canada--canada1986-jp-en.pdf	source/text/canada--canada1986-jp-en.txt	38
canada--synthesizedtextforjapan-canada-jp	Canada	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Canada_JP.pdf	SynthesizedTextforJapan_Canada_JP.pdf	True	source/raw/canada--synthesizedtextforjapan-canada-jp.pdf	source/text/canada--synthesizedtextforjapan-canada-jp.txt	32
canada--canada1999-p-jp-en-fr	Canada	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Canada1999_P_jp_en_fr.pdf	Canada1999_P_jp_en_fr.pdf	False	source/raw/canada--canada1999-p-jp-en-fr.pdf	source/text/canada--canada1999-p-jp-en-fr.txt	14
china--china1983-jp-en	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/China1983_jp_en.pdf	China1983_jp_en.pdf	False	source/raw/china--china1983-jp-en.pdf	source/text/china--china1983-jp-en.txt	85
china--china1983-en1-jp-en	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/China1983_EN1_jp_en.pdf	China1983_EN1_jp_en.pdf	False	source/raw/china--china1983-en1-jp-en.pdf	source/text/china--china1983-en1-jp-en.txt	5
china--china1983-en2-jp-en	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/China1983_EN2_jp_en.pdf	China1983_EN2_jp_en.pdf	False	source/raw/china--china1983-en2-jp-en.pdf	source/text/china--china1983-en2-jp-en.txt	2
china--synthesizedtextforjapan-china-jp	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_China_JP.pdf	SynthesizedTextforJapan_China_JP.pdf	True	source/raw/china--synthesizedtextforjapan-china-jp.pdf	source/text/china--synthesizedtextforjapan-china-jp.txt	23
denmark--20171011dk-a	Denmark	http://www.mof.go.jp/tax_policy/summary/international/press_release/20171011dk_a.pdf	20171011dk_a.pdf	False	source/raw/denmark--20171011dk-a.pdf	source/text/denmark--20171011dk-a.txt	61
denmark--20211105dk-j	Denmark	https://www.mof.go.jp/tax_policy/summary/international/press_release/20211105dk_j.pdf	20211105dk_j.pdf	False	source/raw/denmark--20211105dk-j.pdf	source/text/denmark--20211105dk-j.txt	4
finland--finland1972-jp-en	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Finland1972_jp_en.pdf	Finland1972_jp_en.pdf	False	source/raw/finland--finland1972-jp-en.pdf	source/text/finland--finland1972-jp-en.txt	30
finland--finland1972-en-jp-en	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Finland1972_EN_jp_en.pdf	Finland1972_EN_jp_en.pdf	False	source/raw/finland--finland1972-en-jp-en.pdf	source/text/finland--finland1972-en-jp-en.txt	2
finland--synthesizedtextforjapan-finland1-jp	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Finland1_JP.pdf	SynthesizedTextforJapan_Finland1_JP.pdf	True	source/raw/finland--synthesizedtextforjapan-finland1-jp.pdf	source/text/finland--synthesizedtextforjapan-finland1-jp.txt	28
finland--synthesizedtextforjapan-finland2-jp	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Finland2_JP.pdf	SynthesizedTextforJapan_Finland2_JP.pdf	True	source/raw/finland--synthesizedtextforjapan-finland2-jp.pdf	source/text/finland--synthesizedtextforjapan-finland2-jp.txt	29
finland--finland1991-p-jp-en	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Finland1991_P_jp_en.pdf	Finland1991_P_jp_en.pdf	False	source/raw/finland--finland1991-p-jp-en.pdf	source/text/finland--finland1991-p-jp-en.txt	5
france--france1995-jp-fr	France	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/France1995_jp_fr.pdf	France1995_jp_fr.pdf	False	source/raw/france--france1995-jp-fr.pdf	source/text/france--france1995-jp-fr.txt	36
france--synthesizedtextforjapan-france-jp	France	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_France_JP.pdf	SynthesizedTextforJapan_France_JP.pdf	True	source/raw/france--synthesizedtextforjapan-france-jp.pdf	source/text/france--synthesizedtextforjapan-france-jp.txt	48
germany--synthesizedtextforjapan-germany-jp	Germany	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Germany_JP.pdf	SynthesizedTextforJapan_Germany_JP.pdf	True	source/raw/germany--synthesizedtextforjapan-germany-jp.pdf	source/text/germany--synthesizedtextforjapan-germany-jp.txt	37
hong-kong--hongkong2012-en-jp-en	Hong Kong	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/HongKong2012_EN_jp_en.pdf	HongKong2012_EN_jp_en.pdf	False	source/raw/hong-kong--hongkong2012-en-jp-en.pdf	source/text/hong-kong--hongkong2012-en-jp-en.txt	4
hong-kong--synthesizedtextforjapan-hongkong-jp	Hong Kong	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_HongKong_JP.pdf	SynthesizedTextforJapan_HongKong_JP.pdf	True	source/raw/hong-kong--synthesizedtextforjapan-hongkong-jp.pdf	source/text/hong-kong--synthesizedtextforjapan-hongkong-jp.txt	27
india--india1989-jp-en	India	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/India1989_jp_en.pdf	India1989_jp_en.pdf	False	source/raw/india--india1989-jp-en.pdf	source/text/india--india1989-jp-en.txt	60
india--india1989-en-jp-en	India	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/India1989_EN_jp_en.pdf	India1989_EN_jp_en.pdf	False	source/raw/india--india1989-en-jp-en.pdf	source/text/india--india1989-en-jp-en.txt	6
india--india-text-rev-jpn	India	http://www.mof.go.jp/tax_policy/summary/international/tax_convention/india.text.rev.jpn.pdf	india.text.rev.jpn.pdf	False	source/raw/india--india-text-rev-jpn.pdf	source/text/india--india-text-rev-jpn.txt	30
indonesia--indonesia1982-jp-en	Indonesia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Indonesia1982_jp_en.pdf	Indonesia1982_jp_en.pdf	False	source/raw/indonesia--indonesia1982-jp-en.pdf	source/text/indonesia--indonesia1982-jp-en.txt	44
indonesia--indonesia1982-en-jp-en	Indonesia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Indonesia1982_EN_jp_en.pdf	Indonesia1982_EN_jp_en.pdf	False	source/raw/indonesia--indonesia1982-en-jp-en.pdf	source/text/indonesia--indonesia1982-en-jp-en.txt	3
indonesia--synthesizedtextforjapan-indonesia-jp	Indonesia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Indonesia_JP.pdf	SynthesizedTextforJapan_Indonesia_JP.pdf	True	source/raw/indonesia--synthesizedtextforjapan-indonesia-jp.pdf	source/text/indonesia--synthesizedtextforjapan-indonesia-jp.txt	28
ireland--ireland1974-jp-en	Ireland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Ireland1974_jp_en.pdf	Ireland1974_jp_en.pdf	False	source/raw/ireland--ireland1974-jp-en.pdf	source/text/ireland--ireland1974-jp-en.txt	32
ireland--ireland1974-en-jp-en	Ireland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Ireland1974_EN_jp_en.pdf	Ireland1974_EN_jp_en.pdf	False	source/raw/ireland--ireland1974-en-jp-en.pdf	source/text/ireland--ireland1974-en-jp-en.txt	3
