law_id: 340CO0000000097
law_num: 昭和四十年政令第九十七号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
340CO0000000097_20280101_508CO0000000094	2028-01-01	UnEnforced	令和八年政令第九十四号	法人税法施行令及び法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令の一部を改正する政令
340CO0000000097_20261211_508CO0000000094	2026-12-11	UnEnforced	令和八年政令第九十四号	法人税法施行令及び法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令の一部を改正する政令
340CO0000000097_20261001_507CO0000000121	2026-10-01	UnEnforced	令和七年政令第百二十一号	法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令
340CO0000000097_20260904_508CO0000000094	2026-09-04	UnEnforced	令和八年政令第九十四号	法人税法施行令及び法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令の一部を改正する政令
340CO0000000097_20260601_508CO0000000094	2026-06-01	CurrentEnforced	令和八年政令第九十四号	法人税法施行令及び法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令の一部を改正する政令
340CO0000000097_20260522_508CO0000000094	2026-05-22	PreviousEnforced	令和八年政令第九十四号	法人税法施行令及び法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令の一部を改正する政令
340CO0000000097_20260401_508CO0000000094	2026-04-01	PreviousEnforced	令和八年政令第九十四号	法人税法施行令及び法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令の一部を改正する政令
340CO0000000097_20260401_507CO0000000121	2026-04-01	PreviousEnforced	令和七年政令第百二十一号	法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令
340CO0000000097_20260401_506CO0000000142	2026-04-01	PreviousEnforced	令和六年政令第百四十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20250401_507CO0000000121	2025-04-01	PreviousEnforced	令和七年政令第百二十一号	法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令
340CO0000000097_20250401_507CO0000000019	2025-04-01	PreviousEnforced	令和七年政令第十九号	国立健康危機管理研究機構法及び国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律の施行に伴う関係政令の整備に関する政令
340CO0000000097_20250401_507CO0000000006	2025-04-01	PreviousEnforced	令和七年政令第六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令
340CO0000000097_20250401_506CO0000000212	2025-04-01	PreviousEnforced	令和六年政令第二百十二号	法人税法施行令の一部を改正する政令
340CO0000000097_20250401_506CO0000000209	2025-04-01	PreviousEnforced	令和六年政令第二百九号	私立学校法の一部を改正する法律の施行に伴う関係政令の整備に関する政令
340CO0000000097_20250101_506CO0000000142	2025-01-01	PreviousEnforced	令和六年政令第百四十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20241118_506CO0000000342	2024-11-18	PreviousEnforced	令和六年政令第三百四十二号	二酸化炭素の貯留事業に関する法律の一部の施行に伴う関係政令の整備に関する政令
340CO0000000097_20241001_506CO0000000142	2024-10-01	PreviousEnforced	令和六年政令第百四十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20240401_506CO0000000142	2024-04-01	PreviousEnforced	令和六年政令第百四十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20240401_505CO0000000208	2024-04-01	PreviousEnforced	令和五年政令第二百八号	法人税法施行令の一部を改正する政令
340CO0000000097_20240101_505CO0000000135	2024-01-01	PreviousEnforced	令和五年政令第百三十五号	法人税法施行令の一部を改正する政令
340CO0000000097_20231001_430CO0000000132	2023-10-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20230601_505CO0000000135	2023-06-01	PreviousEnforced	令和五年政令第百三十五号	法人税法施行令の一部を改正する政令
340CO0000000097_20230401_505CO0000000135	2023-04-01	PreviousEnforced	令和五年政令第百三十五号	法人税法施行令の一部を改正する政令
340CO0000000097_20230101_504CO0000000137	2023-01-01	PreviousEnforced	令和四年政令第百三十七号	法人税法施行令等の一部を改正する政令
340CO0000000097_20221001_504CO0000000317	2022-10-01	PreviousEnforced	令和四年政令第三百十七号	法人税法施行令の一部を改正する政令
340CO0000000097_20220501_503CO0000000229	2022-05-01	PreviousEnforced	令和三年政令第二百二十九号	年金制度の機能強化のための国民年金法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令
340CO0000000097_20220401_504CO0000000137	2022-04-01	PreviousEnforced	令和四年政令第百三十七号	法人税法施行令等の一部を改正する政令
340CO0000000097_20220401_503CO0000000114	2022-04-01	PreviousEnforced	令和三年政令第百十四号	法人税法施行令の一部を改正する政令
340CO0000000097_20220401_502CO0000000207	2022-04-01	PreviousEnforced	令和二年政令第二百七号	法人税法施行令等の一部を改正する政令
340CO0000000097_20210802_503CO0000000114	2021-08-02	PreviousEnforced	令和三年政令第百十四号	法人税法施行令の一部を改正する政令
340CO0000000097_20210617_503CO0000000169	2021-06-17	PreviousEnforced	令和三年政令第百六十九号	産業競争力強化法等の一部を改正する等の法律の一部の施行に伴う関係政令の整備等に関する政令
340CO0000000097_20210401_503CO0000000114	2021-04-01	PreviousEnforced	令和三年政令第百十四号	法人税法施行令の一部を改正する政令
340CO0000000097_20210401_502CO0000000112	2021-04-01	PreviousEnforced	令和二年政令第百十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20210301_503CO0000000039	2021-03-01	PreviousEnforced	令和三年政令第三十九号	法人税法施行令等の一部を改正する政令
340CO0000000097_20201201_502CO0000000217	2020-12-01	PreviousEnforced	令和二年政令第二百十七号	漁業法等の一部を改正する等の法律の施行に伴う関係政令の整備及び経過措置に関する政令
340CO0000000097_20201001_502CO0000000286	2020-10-01	PreviousEnforced	令和二年政令第二百八十六号	中小企業の事業承継の促進のための中小企業における経営の承継の円滑化に関する法律等の一部を改正する法律の施行に伴う関係政令の整理に関する政令
340CO0000000097_20200910_502CO0000000273	2020-09-10	PreviousEnforced	令和二年政令第二百七十三号	所得税法施行令及び法人税法施行令の一部を改正する政令
340CO0000000097_20200831_502CO0000000112	2020-08-31	PreviousEnforced	令和二年政令第百十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20200501_502CO0000000112	2020-05-01	PreviousEnforced	令和二年政令第百十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20200401_502CO0000000112	2020-04-01	PreviousEnforced	令和二年政令第百十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20200401_430CO0000000132	2020-04-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20200101_431CO0000000096	2020-01-01	PreviousEnforced	平成三十一年政令第九十六号	法人税法施行令等の一部を改正する政令
340CO0000000097_20200101_430CO0000000132	2020-01-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20191214_501CO0000000144	2019-12-14	PreviousEnforced	令和元年政令第百四十四号	法人税法施行令の一部を改正する政令
340CO0000000097_20191001_431CO0000000096	2019-10-01	PreviousEnforced	平成三十一年政令第九十六号	法人税法施行令等の一部を改正する政令
340CO0000000097_20191001_430CO0000000132	2019-10-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20191001_428CO0000000146	2019-10-01	PreviousEnforced	平成二十八年政令第百四十六号	法人税法施行令等の一部を改正する政令
340CO0000000097_20191001_426CO0000000316	2019-10-01	PreviousEnforced	平成二十六年政令第三百十六号	地方税法施行令の一部を改正する政令
340CO0000000097_20190716_501CO0000000058	2019-07-16	PreviousEnforced	令和元年政令第五十八号	中小企業の事業活動の継続に資するための中小企業等経営強化法等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令
340CO0000000097_20190401_431CO0000000096	2019-04-01	PreviousEnforced	平成三十一年政令第九十六号	法人税法施行令等の一部を改正する政令
340CO0000000097_20190401_430CO0000000132	2019-04-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20190101_430CO0000000132	2019-01-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20180606_430CO0000000132	2018-06-06	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20180601_430CO0000000132	2018-06-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20180501_429CO0000000292	2018-05-01	PreviousEnforced	平成二十九年政令第二百九十二号	確定拠出年金法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令
340CO0000000097_20180401_430CO0000000132	2018-04-01	PreviousEnforced	平成三十年政令第百三十二号	法人税法施行令等の一部を改正する政令
340CO0000000097_20180401_430CO0000000118	2018-04-01	PreviousEnforced	平成三十年政令第百十八号	地方公務員等共済組合法施行令及び平成二十九年度における旧地方公務員等共済組合法による退職年金等の給料年額改定率の改定に関する政令の一部を改正する政令
