law_id: 337AC0000000066
law_num: 昭和三十七年法律第六十六号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
337AC0000000066_20281223_508AC0000000046	2028-12-23	UnEnforced	令和八年法律第四十六号	民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
337AC0000000066_20280613_505AC0000000053	2028-06-13	UnEnforced	令和五年法律第五十三号	民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律
337AC0000000066_20280401_508AC0000000012	2028-04-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
337AC0000000066_20271205_507AC0000000057	2027-12-05	UnEnforced	令和七年法律第五十七号	譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律
337AC0000000066_20271001_508AC0000000012	2027-10-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
337AC0000000066_20261101_507AC0000000013	2026-11-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
337AC0000000066_20260624_508AC0000000046	2026-06-24	PreviousEnforced	令和八年法律第四十六号	民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
337AC0000000066_20260525_506AC0000000052	2026-05-25	PreviousEnforced	令和六年法律第五十二号	事業性融資の推進等に関する法律
337AC0000000066_20260521_505AC0000000003	2026-05-21	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
337AC0000000066_20260401_508AC0000000012	2026-04-01	PreviousEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
337AC0000000066_20260401_507AC0000000013	2026-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
337AC0000000066_20251001_505AC0000000053	2025-10-01	PreviousEnforced	令和五年法律第五十三号	民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律
337AC0000000066_20250606_507AC0000000057	2025-06-06	PreviousEnforced	令和七年法律第五十七号	譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律
