law_id: 337CO0000000135
law_num: 昭和三十七年政令第百三十五号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
337CO0000000135_20260401_507CO0000000126	2026-04-01	CurrentEnforced	令和七年政令第百二十六号	国税通則法施行令の一部を改正する政令
337CO0000000135_20240401_505CO0000000210	2024-04-01	PreviousEnforced	令和五年政令第二百十号	国税通則法施行令の一部を改正する政令
337CO0000000135_20240401_505CO0000000143	2024-04-01	PreviousEnforced	令和五年政令第百四十三号	国税通則法施行令の一部を改正する政令
337CO0000000135_20240101_505CO0000000143	2024-01-01	PreviousEnforced	令和五年政令第百四十三号	国税通則法施行令の一部を改正する政令
337CO0000000135_20240101_504CO0000000147	2024-01-01	PreviousEnforced	令和四年政令第百四十七号	国税通則法施行令等の一部を改正する政令
337CO0000000135_20221231_504CO0000000147	2022-12-31	PreviousEnforced	令和四年政令第百四十七号	国税通則法施行令等の一部を改正する政令
337CO0000000135_20220401_504CO0000000147	2022-04-01	PreviousEnforced	令和四年政令第百四十七号	国税通則法施行令等の一部を改正する政令
337CO0000000135_20220401_504CO0000000037	2022-04-01	PreviousEnforced	令和四年政令第三十七号	強靱かつ持続可能な電気供給体制の確立を図るための電気事業法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令
337CO0000000135_20220401_502CO0000000207	2022-04-01	PreviousEnforced	令和二年政令第二百七号	法人税法施行令等の一部を改正する政令
337CO0000000135_20220101_503CO0000000117	2022-01-01	PreviousEnforced	令和三年政令第百十七号	国税通則法施行令の一部を改正する政令
337CO0000000135_20210401_503CO0000000117	2021-04-01	PreviousEnforced	令和三年政令第百十七号	国税通則法施行令の一部を改正する政令
337CO0000000135_20210101_502CO0000000120	2021-01-01	PreviousEnforced	令和二年政令第百二十号	国税通則法施行令の一部を改正する政令
337CO0000000135_20200401_502CO0000000120	2020-04-01	PreviousEnforced	令和二年政令第百二十号	国税通則法施行令の一部を改正する政令
337CO0000000135_20200401_431CO0000000101	2020-04-01	PreviousEnforced	平成三十一年政令第百一号	国税通則法施行令の一部を改正する政令
337CO0000000135_20200101_431CO0000000101	2020-01-01	PreviousEnforced	平成三十一年政令第百一号	国税通則法施行令の一部を改正する政令
337CO0000000135_20191216_501CO0000000183	2019-12-16	PreviousEnforced	令和元年政令第百八十三号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令
337CO0000000135_20190401_431CO0000000101	2019-04-01	PreviousEnforced	平成三十一年政令第百一号	国税通則法施行令の一部を改正する政令
337CO0000000135_20190107_430CO0000000161	2019-01-07	PreviousEnforced	平成三十年政令第百六十一号	国際観光旅客税法施行令
337CO0000000135_20190101_430CO0000000142	2019-01-01	PreviousEnforced	平成三十年政令第百四十二号	国税通則法施行令の一部を改正する政令
337CO0000000135_20180401_430CO0000000142	2018-04-01	PreviousEnforced	平成三十年政令第百四十二号	国税通則法施行令の一部を改正する政令
337CO0000000135_20180401_429CO0000000112	2018-04-01	PreviousEnforced	平成二十九年政令第百十二号	国税通則法施行令の一部を改正する政令
337CO0000000135_20180101_429CO0000000112	2018-01-01	PreviousEnforced	平成二十九年政令第百十二号	国税通則法施行令の一部を改正する政令
337CO0000000135_20180101_428CO0000000156	2018-01-01	PreviousEnforced	平成二十八年政令第百五十六号	国税通則法施行令の一部を改正する政令
337CO0000000135_20171001_429CO0000000112	2017-10-01	PreviousEnforced	平成二十九年政令第百十二号	国税通則法施行令の一部を改正する政令
337CO0000000135_20170401_429CO0000000112	2017-04-01	PreviousEnforced	平成二十九年政令第百十二号	国税通則法施行令の一部を改正する政令
