law_id: 363AC0000000108
law_num: 昭和六十三年法律第百八号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
363AC0000000108_20300619_507AC0000000074	2030-06-19	UnEnforced	令和七年法律第七十四号	社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律
363AC0000000108_20280401_508AC0000000012	2028-04-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
363AC0000000108_20271001_508AC0000000012	2027-10-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
363AC0000000108_20270416_508AC0000000059	2027-04-16	UnEnforced	令和八年法律第五十九号	科学技術・イノベーション創出の活性化に関する法律の一部を改正する法律
363AC0000000108_20270401_508AC0000000012	2027-04-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
363AC0000000108_20270401_506AC0000000060	2027-04-01	UnEnforced	令和六年法律第六十号	出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律
363AC0000000108_20270101_507AC0000000013	2027-01-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
363AC0000000108_20261101_507AC0000000013	2026-11-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
363AC0000000108_20261001_507AC0000000070	2026-10-01	UnEnforced	令和七年法律第七十号	日本学術会議法
363AC0000000108_20261001_507AC0000000013	2026-10-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
363AC0000000108_20261001_428AC0000000015	2026-10-01	UnEnforced	平成二十八年法律第十五号	所得税法等の一部を改正する法律
363AC0000000108_20260401_508AC0000000012	2026-04-01	PreviousEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
363AC0000000108_20260401_508AC0000000002	2026-04-01	PreviousEnforced	令和八年法律第二号	地方税法等の一部を改正する法律
363AC0000000108_20260401_506AC0000000008	2026-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
363AC0000000108_20251001_505AC0000000003	2025-10-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
363AC0000000108_20250620_507AC0000000074	2025-06-20	PreviousEnforced	令和七年法律第七十四号	社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律
363AC0000000108_20250601_504AC0000000068	2025-06-01	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄
363AC0000000108_20250401_507AC0000000013	2025-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
363AC0000000108_20250401_506AC0000000046	2025-04-01	PreviousEnforced	令和六年法律第四十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律
363AC0000000108_20250401_505AC0000000047	2025-04-01	PreviousEnforced	令和五年法律第四十七号	国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律
363AC0000000108_20250401_505AC0000000021	2025-04-01	PreviousEnforced	令和五年法律第二十一号	私立学校法の一部を改正する法律
363AC0000000108_20241001_506AC0000000008	2024-10-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
363AC0000000108_20240409_506AC0000000008	2024-04-09	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
363AC0000000108_20240401_506AC0000000008	2024-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
363AC0000000108_20240401_505AC0000000079	2024-04-01	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
363AC0000000108_20240401_505AC0000000044	2024-04-01	PreviousEnforced	令和五年法律第四十四号	脱炭素社会の実現に向けた電気供給体制の確立を図るための電気事業法等の一部を改正する法律
363AC0000000108_20240201_505AC0000000079	2024-02-01	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
363AC0000000108_20231129_505AC0000000079	2023-11-29	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
363AC0000000108_20231001_505AC0000000003	2023-10-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
363AC0000000108_20231001_428AC0000000015	2023-10-01	PreviousEnforced	平成二十八年法律第十五号	所得税法等の一部を改正する法律
363AC0000000108_20230607_505AC0000000047	2023-06-07	PreviousEnforced	令和五年法律第四十七号	国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律
363AC0000000108_20230607_505AC0000000044	2023-06-07	PreviousEnforced	令和五年法律第四十四号	脱炭素社会の実現に向けた電気供給体制の確立を図るための電気事業法等の一部を改正する法律
363AC0000000108_20230501_505AC0000000003	2023-05-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
363AC0000000108_20230401_505AC0000000003	2023-04-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
363AC0000000108_20230401_504AC0000000065	2023-04-01	PreviousEnforced	令和四年法律第六十五号	自動車損害賠償保障法及び特別会計に関する法律の一部を改正する法律
363AC0000000108_20230401_504AC0000000004	2023-04-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
363AC0000000108_20230101_504AC0000000004	2023-01-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
363AC0000000108_20220617_504AC0000000068	2022-06-17	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律
