law_id: 363CO0000000360
law_num: 昭和六十三年政令第三百六十号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
363CO0000000360_20280401_508CO0000000096	2028-04-01	UnEnforced	令和八年政令第九十六号	消費税法施行令の一部を改正する政令
363CO0000000360_20280101_508CO0000000096	2028-01-01	UnEnforced	令和八年政令第九十六号	消費税法施行令の一部を改正する政令
363CO0000000360_20270722_508CO0000000096	2027-07-22	UnEnforced	令和八年政令第九十六号	消費税法施行令の一部を改正する政令
363CO0000000360_20261101_507CO0000000125	2026-11-01	UnEnforced	令和七年政令第百二十五号	消費税法施行令の一部を改正する政令
363CO0000000360_20261001_508CO0000000108	2026-10-01	UnEnforced	令和八年政令第百八号	消費税法施行令等の一部を改正する政令の一部を改正する政令
363CO0000000360_20261001_508CO0000000096	2026-10-01	UnEnforced	令和八年政令第九十六号	消費税法施行令の一部を改正する政令
363CO0000000360_20260901_508CO0000000096	2026-09-01	UnEnforced	令和八年政令第九十六号	消費税法施行令の一部を改正する政令
363CO0000000360_20260522_508CO0000000096	2026-05-22	PreviousEnforced	令和八年政令第九十六号	消費税法施行令の一部を改正する政令
363CO0000000360_20260401_506CO0000000145	2026-04-01	PreviousEnforced	令和六年政令第百四十五号	消費税法施行令等の一部を改正する政令
363CO0000000360_20251001_507CO0000000125	2025-10-01	PreviousEnforced	令和七年政令第百二十五号	消費税法施行令の一部を改正する政令
363CO0000000360_20250401_507CO0000000125	2025-04-01	PreviousEnforced	令和七年政令第百二十五号	消費税法施行令の一部を改正する政令
363CO0000000360_20250401_507CO0000000019	2025-04-01	PreviousEnforced	令和七年政令第十九号	国立健康危機管理研究機構法及び国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律の施行に伴う関係政令の整備に関する政令
363CO0000000360_20250401_506CO0000000372	2025-04-01	PreviousEnforced	令和六年政令第三百七十二号	海上運送法等の一部を改正する法律の一部の施行に伴う関係政令の整理等に関する政令
363CO0000000360_20241118_506CO0000000342	2024-11-18	PreviousEnforced	令和六年政令第三百四十二号	二酸化炭素の貯留事業に関する法律の一部の施行に伴う関係政令の整備に関する政令
363CO0000000360_20241001_506CO0000000145	2024-10-01	PreviousEnforced	令和六年政令第百四十五号	消費税法施行令等の一部を改正する政令
363CO0000000360_20240401_506CO0000000145	2024-04-01	PreviousEnforced	令和六年政令第百四十五号	消費税法施行令等の一部を改正する政令
363CO0000000360_20240401_505CO0000000137	2024-04-01	PreviousEnforced	令和五年政令第百三十七号	消費税法施行令等の一部を改正する政令
363CO0000000360_20240101_504CO0000000139	2024-01-01	PreviousEnforced	令和四年政令第百三十九号	消費税法施行令等の一部を改正する政令
363CO0000000360_20231001_505CO0000000246	2023-10-01	PreviousEnforced	令和五年政令第二百四十六号	地域公共交通の活性化及び再生に関する法律等の一部を改正する法律の施行に伴う関係政令の整備に関する政令
363CO0000000360_20231001_505CO0000000137	2023-10-01	PreviousEnforced	令和五年政令第百三十七号	消費税法施行令等の一部を改正する政令
363CO0000000360_20231001_430CO0000000135	2023-10-01	PreviousEnforced	平成三十年政令第百三十五号	消費税法施行令等の一部を改正する政令
363CO0000000360_20230601_505CO0000000137	2023-06-01	PreviousEnforced	令和五年政令第百三十七号	消費税法施行令等の一部を改正する政令
363CO0000000360_20230501_505CO0000000137	2023-05-01	PreviousEnforced	令和五年政令第百三十七号	消費税法施行令等の一部を改正する政令
363CO0000000360_20230401_505CO0000000137	2023-04-01	PreviousEnforced	令和五年政令第百三十七号	消費税法施行令等の一部を改正する政令
363CO0000000360_20230401_504CO0000000139	2023-04-01	PreviousEnforced	令和四年政令第百三十九号	消費税法施行令等の一部を改正する政令
363CO0000000360_20220501_503CO0000000229	2022-05-01	PreviousEnforced	令和三年政令第二百二十九号	年金制度の機能強化のための国民年金法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令
363CO0000000360_20220401_504CO0000000139	2022-04-01	PreviousEnforced	令和四年政令第百三十九号	消費税法施行令等の一部を改正する政令
363CO0000000360_20220401_503CO0000000116	2022-04-01	PreviousEnforced	令和三年政令第百十六号	消費税法施行令等の一部を改正する政令
363CO0000000360_20220401_502CO0000000207	2022-04-01	PreviousEnforced	令和二年政令第二百七号	法人税法施行令等の一部を改正する政令
363CO0000000360_20220101_503CO0000000116	2022-01-01	PreviousEnforced	令和三年政令第百十六号	消費税法施行令等の一部を改正する政令
363CO0000000360_20220101_502CO0000000114	2022-01-01	PreviousEnforced	令和二年政令第百十四号	消費税法施行令等の一部を改正する政令
363CO0000000360_20211001_502CO0000000114	2021-10-01	PreviousEnforced	令和二年政令第百十四号	消費税法施行令等の一部を改正する政令
363CO0000000360_20211001_430CO0000000135	2021-10-01	PreviousEnforced	平成三十年政令第百三十五号	消費税法施行令等の一部を改正する政令
363CO0000000360_20210401_503CO0000000116	2021-04-01	PreviousEnforced	令和三年政令第百十六号	消費税法施行令等の一部を改正する政令
363CO0000000360_20201001_502CO0000000114	2020-10-01	PreviousEnforced	令和二年政令第百十四号	消費税法施行令等の一部を改正する政令
363CO0000000360_20200601_502CO0000000114	2020-06-01	PreviousEnforced	令和二年政令第百十四号	消費税法施行令等の一部を改正する政令
363CO0000000360_20200501_502CO0000000114	2020-05-01	PreviousEnforced	令和二年政令第百十四号	消費税法施行令等の一部を改正する政令
363CO0000000360_20200401_502CO0000000114	2020-04-01	PreviousEnforced	令和二年政令第百十四号	消費税法施行令等の一部を改正する政令
363CO0000000360_20200401_430CO0000000135	2020-04-01	PreviousEnforced	平成三十年政令第百三十五号	消費税法施行令等の一部を改正する政令
363CO0000000360_20191001_431CO0000000099	2019-10-01	PreviousEnforced	平成三十一年政令第九十九号	消費税法施行令の一部を改正する政令
363CO0000000360_20191001_430CO0000000135	2019-10-01	PreviousEnforced	平成三十年政令第百三十五号	消費税法施行令等の一部を改正する政令
