law_id: 340AC0000000033
law_num: 昭和四十年法律第三十三号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
340AC0000000033_21171231_508AC0000000012	2117-12-31	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000033_21171230_508AC0000000012	2117-12-30	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000033_20300619_507AC0000000074	2030-06-19	UnEnforced	令和七年法律第七十四号	社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律
340AC0000000033_20270401_506AC0000000060	2027-04-01	UnEnforced	令和六年法律第六十号	出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律
340AC0000000033_20270101_508AC0000000012	2027-01-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000033_20270101_507AC0000000013	2027-01-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000033_20270101_506AC0000000008	2027-01-01	UnEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20270101_505AC0000000003	2027-01-01	UnEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
340AC0000000033_20261201_508AC0000000012	2026-12-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000033_20261001_507AC0000000070	2026-10-01	UnEnforced	令和七年法律第七十号	日本学術会議法
340AC0000000033_20261001_507AC0000000013	2026-10-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000033_20260401_508AC0000000012	2026-04-01	CurrentEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000033_20260401_507AC0000000013	2026-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000033_20260401_506AC0000000008	2026-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20260101_507AC0000000013	2026-01-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000033_20260101_505AC0000000003	2026-01-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
340AC0000000033_20251218_507AC0000000013	2025-12-18	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000033_20251201_507AC0000000013	2025-12-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000033_20251001_506AC0000000026	2025-10-01	PreviousEnforced	令和六年法律第二十六号	雇用保険法等の一部を改正する法律
340AC0000000033_20250620_507AC0000000074	2025-06-20	PreviousEnforced	令和七年法律第七十四号	社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律
340AC0000000033_20250601_504AC0000000068	2025-06-01	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄
340AC0000000033_20250401_507AC0000000013	2025-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000033_20250401_506AC0000000046	2025-04-01	PreviousEnforced	令和六年法律第四十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律
340AC0000000033_20250401_505AC0000000047	2025-04-01	PreviousEnforced	令和五年法律第四十七号	国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律
340AC0000000033_20250401_505AC0000000021	2025-04-01	PreviousEnforced	令和五年法律第二十一号	私立学校法の一部を改正する法律
340AC0000000033_20250101_505AC0000000003	2025-01-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
340AC0000000033_20240612_506AC0000000047	2024-06-12	PreviousEnforced	令和六年法律第四十七号	子ども・子育て支援法等の一部を改正する法律
340AC0000000033_20240517_506AC0000000026	2024-05-17	PreviousEnforced	令和六年法律第二十六号	雇用保険法等の一部を改正する法律
340AC0000000033_20240401_506AC0000000008	2024-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20240401_505AC0000000079	2024-04-01	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
340AC0000000033_20240401_505AC0000000044	2024-04-01	PreviousEnforced	令和五年法律第四十四号	脱炭素社会の実現に向けた電気供給体制の確立を図るための電気事業法等の一部を改正する法律
340AC0000000033_20240201_505AC0000000079	2024-02-01	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
340AC0000000033_20240101_504AC0000000004	2024-01-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
340AC0000000033_20240101_431AC0000000006	2024-01-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
340AC0000000033_20231129_505AC0000000079	2023-11-29	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
340AC0000000033_20231001_504AC1000000071	2023-10-01	PreviousEnforced	令和四年法律第七十一号	労働者協同組合法等の一部を改正する法律
340AC0000000033_20231001_504AC0000000004	2023-10-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
340AC0000000033_20230607_505AC0000000047	2023-06-07	PreviousEnforced	令和五年法律第四十七号	国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律
340AC0000000033_20230607_505AC0000000044	2023-06-07	PreviousEnforced	令和五年法律第四十四号	脱炭素社会の実現に向けた電気供給体制の確立を図るための電気事業法等の一部を改正する法律
340AC0000000033_20230601_505AC0000000003	2023-06-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
340AC0000000033_20230511_503AC0000000037	2023-05-11	PreviousEnforced	令和三年法律第三十七号	デジタル社会の形成を図るための関係法律の整備に関する法律
340AC0000000033_20230401_505AC0000000003	2023-04-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
340AC0000000033_20230101_504AC0000000004	2023-01-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
340AC0000000033_20230101_502AC0000000008	2023-01-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20221001_504AC1000000071	2022-10-01	PreviousEnforced	令和四年法律第七十一号	労働者協同組合法等の一部を改正する法律
340AC0000000033_20221001_504AC0000000004	2022-10-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
340AC0000000033_20220617_504AC0000000068	2022-06-17	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律
340AC0000000033_20220401_504AC0000000004	2022-04-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
340AC0000000033_20220401_502AC0000000008	2022-04-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20220101_503AC0000000011	2022-01-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
340AC0000000033_20220101_502AC0000000008	2022-01-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20210801_503AC0000000011	2021-08-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
340AC0000000033_20210519_503AC0000000037	2021-05-19	PreviousEnforced	令和三年法律第三十七号	デジタル社会の形成を図るための関係法律の整備に関する法律
340AC0000000033_20210401_503AC0000000011	2021-04-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
340AC0000000033_20210101_502AC0000000008	2021-01-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20210101_430AC0000000007	2021-01-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20201001_430AC0000000007	2020-10-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20200501_501AC0000000028	2020-05-01	PreviousEnforced	令和元年法律第二十八号	情報通信技術の進展に伴う金融取引の多様化に対応するための資金決済に関する法律等の一部を改正する法律
340AC0000000033_20200401_502AC0000000008	2020-04-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
340AC0000000033_20200401_431AC0000000006	2020-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
340AC0000000033_20200401_430AC0000000007	2020-04-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20200401_429AC0000000045	2020-04-01	PreviousEnforced	平成二十九年法律第四十五号	民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
340AC0000000033_20200101_431AC0000000006	2020-01-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
340AC0000000033_20200101_430AC0000000007	2020-01-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20191216_501AC0000000016	2019-12-16	PreviousEnforced	令和元年法律第十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律
340AC0000000033_20190701_431AC0000000006	2019-07-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
340AC0000000033_20190607_501AC0000000028	2019-06-07	PreviousEnforced	令和元年法律第二十八号	情報通信技術の進展に伴う金融取引の多様化に対応するための資金決済に関する法律等の一部を改正する法律
340AC0000000033_20190401_431AC0000000006	2019-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
340AC0000000033_20190401_430AC0000000007	2019-04-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20190101_430AC0000000007	2019-01-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20181116_430AC0000000007	2018-11-16	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20180401_430AC0000000007	2018-04-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
340AC0000000033_20180401_429AC0000000074	2018-04-01	PreviousEnforced	平成二十九年法律第七十四号	農業災害補償法の一部を改正する法律
340AC0000000033_20180401_429AC0000000004	2018-04-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
340AC0000000033_20180101_429AC0000000004	2018-01-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
340AC0000000033_20171101_428AC0000000089	2017-11-01	PreviousEnforced	平成二十八年法律第八十九号	外国人の技能実習の適正な実施及び技能実習生の保護に関する法律
340AC0000000033_20171001_429AC0000000004	2017-10-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
340AC0000000033_20170602_429AC0000000045	2017-06-02	PreviousEnforced	平成二十九年法律第四十五号	民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
340AC0000000033_20170401_429AC0000000004	2017-04-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
340AC0000000033_20170401_428AC0000000063	2017-04-01	PreviousEnforced	平成二十八年法律第六十三号	児童福祉法等の一部を改正する法律
340AC0000000033_20170401_428AC0000000039	2017-04-01	PreviousEnforced	平成二十八年法律第三十九号	漁業経営に関する補償制度の改善のための漁船損害等補償法及び漁業災害補償法の一部を改正する等の法律
