law_id: 340CO0000000096
law_num: 昭和四十年政令第九十六号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
340CO0000000096_21171231_508CO0000000093	2117-12-31	UnEnforced	令和八年政令第九十三号	所得税法施行令の一部を改正する政令
340CO0000000096_21171230_508CO0000000093	2117-12-30	UnEnforced	令和八年政令第九十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20270101_508CO0000000093	2027-01-01	UnEnforced	令和八年政令第九十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20261201_508CO0000000093	2026-12-01	UnEnforced	令和八年政令第九十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20260522_508CO0000000093	2026-05-22	CurrentEnforced	令和八年政令第九十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20260401_508CO0000000093	2026-04-01	PreviousEnforced	令和八年政令第九十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20260401_507CO0000000120	2026-04-01	PreviousEnforced	令和七年政令第百二十号	所得税法施行令等の一部を改正する政令
340CO0000000096_20260401_506CO0000000141	2026-04-01	PreviousEnforced	令和六年政令第百四十一号	所得税法施行令の一部を改正する政令
340CO0000000096_20260101_507CO0000000120	2026-01-01	PreviousEnforced	令和七年政令第百二十号	所得税法施行令等の一部を改正する政令
340CO0000000096_20251201_507CO0000000120	2025-12-01	PreviousEnforced	令和七年政令第百二十号	所得税法施行令等の一部を改正する政令
340CO0000000096_20251120_507CO0000000380	2025-11-20	PreviousEnforced	令和七年政令第三百八十号	所得税法施行令の一部を改正する政令
340CO0000000096_20250401_507CO0000000120	2025-04-01	PreviousEnforced	令和七年政令第百二十号	所得税法施行令等の一部を改正する政令
340CO0000000096_20250401_507CO0000000019	2025-04-01	PreviousEnforced	令和七年政令第十九号	国立健康危機管理研究機構法及び国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律の施行に伴う関係政令の整備に関する政令
340CO0000000096_20250401_507CO0000000006	2025-04-01	PreviousEnforced	令和七年政令第六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令
340CO0000000096_20250401_506CO0000000209	2025-04-01	PreviousEnforced	令和六年政令第二百九号	私立学校法の一部を改正する法律の施行に伴う関係政令の整備に関する政令
340CO0000000096_20250101_505CO0000000134	2025-01-01	PreviousEnforced	令和五年政令第百三十四号	所得税法施行令及び災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令の一部を改正する政令
340CO0000000096_20241202_506CO0000000141	2024-12-02	PreviousEnforced	令和六年政令第百四十一号	所得税法施行令の一部を改正する政令
340CO0000000096_20241118_506CO0000000342	2024-11-18	PreviousEnforced	令和六年政令第三百四十二号	二酸化炭素の貯留事業に関する法律の一部の施行に伴う関係政令の整備に関する政令
340CO0000000096_20240401_506CO0000000141	2024-04-01	PreviousEnforced	令和六年政令第百四十一号	所得税法施行令の一部を改正する政令
340CO0000000096_20231001_504CO0000000136	2023-10-01	PreviousEnforced	令和四年政令第百三十六号	所得税法施行令の一部を改正する政令
340CO0000000096_20231001_430CO0000000131	2023-10-01	PreviousEnforced	平成三十年政令第百三十一号	所得税法施行令等の一部を改正する政令
340CO0000000096_20230601_505CO0000000134	2023-06-01	PreviousEnforced	令和五年政令第百三十四号	所得税法施行令及び災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令の一部を改正する政令
340CO0000000096_20230401_505CO0000000134	2023-04-01	PreviousEnforced	令和五年政令第百三十四号	所得税法施行令及び災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令の一部を改正する政令
340CO0000000096_20230101_504CO0000000136	2023-01-01	PreviousEnforced	令和四年政令第百三十六号	所得税法施行令の一部を改正する政令
340CO0000000096_20230101_502CO0000000111	2023-01-01	PreviousEnforced	令和二年政令第百十一号	所得税法施行令及び災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令の一部を改正する政令
340CO0000000096_20221001_504CO0000000136	2022-10-01	PreviousEnforced	令和四年政令第百三十六号	所得税法施行令の一部を改正する政令
340CO0000000096_20220501_503CO0000000229	2022-05-01	PreviousEnforced	令和三年政令第二百二十九号	年金制度の機能強化のための国民年金法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令
340CO0000000096_20220401_504CO0000000136	2022-04-01	PreviousEnforced	令和四年政令第百三十六号	所得税法施行令の一部を改正する政令
340CO0000000096_20220401_503CO0000000229	2022-04-01	PreviousEnforced	令和三年政令第二百二十九号	年金制度の機能強化のための国民年金法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令
340CO0000000096_20220401_503CO0000000113	2022-04-01	PreviousEnforced	令和三年政令第百十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20220401_502CO0000000207	2022-04-01	PreviousEnforced	令和二年政令第二百七号	法人税法施行令等の一部を改正する政令
340CO0000000096_20220101_503CO0000000113	2022-01-01	PreviousEnforced	令和三年政令第百十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20220101_502CO0000000111	2022-01-01	PreviousEnforced	令和二年政令第百十一号	所得税法施行令及び災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令の一部を改正する政令
340CO0000000096_20210401_503CO0000000113	2021-04-01	PreviousEnforced	令和三年政令第百十三号	所得税法施行令の一部を改正する政令
340CO0000000096_20210301_503CO0000000039	2021-03-01	PreviousEnforced	令和三年政令第三十九号	法人税法施行令等の一部を改正する政令
340CO0000000096_20210301_502CO0000000111	2021-03-01	PreviousEnforced	令和二年政令第百十一号	所得税法施行令及び災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令の一部を改正する政令
340CO0000000096_20210101_502CO0000000111	2021-01-01	PreviousEnforced	令和二年政令第百十一号	所得税法施行令及び災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令の一部を改正する政令
