law_id: 332AC0000000026
law_num: 昭和三十二年法律第二十六号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
332AC0000000026_20300101_505AC0000000003	2030-01-01	UnEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20280401_508AC0000000012	2028-04-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20280101_508AC0000000012	2028-01-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20270722_508AC0000000064	2027-07-22	UnEnforced	令和八年法律第六十四号	金融商品取引法及び資金決済に関する法律の一部を改正する法律
332AC0000000026_20270618_508AC0000000012	2027-06-18	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20270526_508AC0000000012	2027-05-26	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20270520_508AC0000000012	2027-05-20	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20270101_508AC0000000012	2027-01-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20270101_507AC0000000013	2027-01-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20270101_506AC0000000008	2027-01-01	UnEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20261209_508AC0000000035	2026-12-09	UnEnforced	令和八年法律第三十五号	地域公共交通の活性化及び再生に関する法律の一部を改正する法律
332AC0000000026_20261204_508AC0000000012	2026-12-04	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20261201_508AC0000000012	2026-12-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20261126_508AC0000000012	2026-11-26	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20261101_507AC0000000013	2026-11-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20261001_508AC0000000012	2026-10-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20260812_508AC0000000064	2026-08-12	UnEnforced	令和八年法律第六十四号	金融商品取引法及び資金決済に関する法律の一部を改正する法律
332AC0000000026_20260731_508AC0000000029	2026-07-31	PreviousEnforced	令和八年法律第二十九号	経済社会情勢の変化を踏まえた企業の事業活動の持続的な発展を図るための産業競争力強化法等の一部を改正する法律
332AC0000000026_20260731_508AC0000000012	2026-07-31	PreviousEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20260625_508AC0000000012	2026-06-25	PreviousEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20260501_508AC0000000012	2026-05-01	PreviousEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20260401_508AC0000000012	2026-04-01	PreviousEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
332AC0000000026_20260401_508AC0000000005	2026-04-01	PreviousEnforced	令和八年法律第五号	関税定率法等の一部を改正する法律
332AC0000000026_20260401_507AC0000000087	2026-04-01	PreviousEnforced	令和七年法律第八十七号	医療法等の一部を改正する法律
332AC0000000026_20260401_507AC0000000013	2026-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20260401_506AC0000000008	2026-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20260101_507AC1000000002	2026-01-01	PreviousEnforced	令和七年法律第二号	政治資金規正法等の一部を改正する法律
332AC0000000026_20260101_507AC0000000041	2026-01-01	PreviousEnforced	令和七年法律第四十一号	下請代金支払遅延等防止法及び下請中小企業振興法の一部を改正する法律
332AC0000000026_20260101_507AC0000000013	2026-01-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20251231_507AC1000000081	2025-12-31	PreviousEnforced	令和七年法律第八十一号	租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律
332AC0000000026_20251205_507AC1000000081	2025-12-05	PreviousEnforced	令和七年法律第八十一号	租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律
332AC0000000026_20251201_507AC0000000013	2025-12-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20251121_507AC0000000013	2025-11-21	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20251001_507AC0000000013	2025-10-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20250804_507AC0000000030	2025-08-04	PreviousEnforced	令和七年法律第三十号	情報処理の促進に関する法律及び特別会計に関する法律の一部を改正する法律
332AC0000000026_20250601_504AC0000000068	2025-06-01	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄
332AC0000000026_20250501_507AC0000000013	2025-05-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20250401_507AC0000000013	2025-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
332AC0000000026_20250401_506AC0000000046	2025-04-01	PreviousEnforced	令和六年法律第四十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律
332AC0000000026_20250401_506AC0000000008	2025-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20250401_505AC0000000021	2025-04-01	PreviousEnforced	令和五年法律第二十一号	私立学校法の一部を改正する法律
332AC0000000026_20250108_507AC1000000002	2025-01-08	PreviousEnforced	令和七年法律第二号	政治資金規正法等の一部を改正する法律
332AC0000000026_20250101_506AC0000000008	2025-01-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20250101_505AC0000000003	2025-01-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20241108_506AC0000000008	2024-11-08	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20241101_505AC0000000079	2024-11-01	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
332AC0000000026_20241001_506AC0000000008	2024-10-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20240902_506AC0000000045	2024-09-02	PreviousEnforced	令和六年法律第四十五号	新たな事業の創出及び産業への投資を促進するための産業競争力強化法等の一部を改正する法律
332AC0000000026_20240902_506AC0000000008	2024-09-02	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20240601_506AC0000000008	2024-06-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20240419_506AC0000000008	2024-04-19	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20240401_506AC0000000008	2024-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20240401_505AC0000000079	2024-04-01	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
332AC0000000026_20240401_505AC0000000003	2024-04-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20240101_505AC0000000003	2024-01-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20240101_504AC0000000004	2024-01-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
332AC0000000026_20231001_505AC0000000003	2023-10-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20231001_504AC0000000004	2023-10-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
332AC0000000026_20231001_428AC0000000015	2023-10-01	PreviousEnforced	平成二十八年法律第十五号	所得税法等の一部を改正する法律
332AC0000000026_20230701_505AC0000000003	2023-07-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20230601_505AC0000000003	2023-06-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20230501_505AC0000000003	2023-05-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20230401_505AC0000000003	2023-04-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
332AC0000000026_20230401_504AC0000000046	2023-04-01	PreviousEnforced	令和四年法律第四十六号	安定的なエネルギー需給構造の確立を図るためのエネルギーの使用の合理化等に関する法律等の一部を改正する法律
332AC0000000026_20230401_504AC0000000024	2023-04-01	PreviousEnforced	令和四年法律第二十四号	博物館法の一部を改正する法律
332AC0000000026_20230401_504AC0000000004	2023-04-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
332AC0000000026_20230401_503AC0000000024	2023-04-01	PreviousEnforced	令和三年法律第二十四号	民法等の一部を改正する法律
332AC0000000026_20230101_504AC0000000047	2023-01-01	PreviousEnforced	令和四年法律第四十七号	医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律等の一部を改正する法律
332AC0000000026_20230101_503AC0000000011	2023-01-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20230101_501AC0000000014	2023-01-01	PreviousEnforced	令和元年法律第十四号	道路運送車両法の一部を改正する法律
332AC0000000026_20221114_504AC0000000046	2022-11-14	PreviousEnforced	令和四年法律第四十六号	安定的なエネルギー需給構造の確立を図るためのエネルギーの使用の合理化等に関する法律等の一部を改正する法律
332AC0000000026_20221001_504AC1000000071	2022-10-01	PreviousEnforced	令和四年法律第七十一号	労働者協同組合法等の一部を改正する法律
332AC0000000026_20221001_504AC0000000004	2022-10-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
332AC0000000026_20220701_504AC0000000060	2022-07-01	PreviousEnforced	令和四年法律第六十号	地球温暖化対策の推進に関する法律の一部を改正する法律
332AC0000000026_20220701_504AC0000000004	2022-07-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
332AC0000000026_20220617_504AC0000000068	2022-06-17	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律
332AC0000000026_20220520_504AC0000000046	2022-05-20	PreviousEnforced	令和四年法律第四十六号	安定的なエネルギー需給構造の確立を図るためのエネルギーの使用の合理化等に関する法律等の一部を改正する法律
332AC0000000026_20220518_503AC0000000037	2022-05-18	PreviousEnforced	令和三年法律第三十七号	デジタル社会の形成を図るための関係法律の整備に関する法律
332AC0000000026_20220501_503AC0000000011	2022-05-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20220401_504AC0000000005	2022-04-01	PreviousEnforced	令和四年法律第五号	関税定率法等の一部を改正する法律
332AC0000000026_20220401_504AC0000000004	2022-04-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
332AC0000000026_20220401_503AC0000000011	2022-04-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20220401_502AC0000000008	2022-04-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20220401_431AC0000000006	2022-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20220301_503AC0000000087	2022-03-01	PreviousEnforced	令和三年法律第八十七号	特定高度情報通信技術活用システムの開発供給及び導入の促進に関する法律及び国立研究開発法人新エネルギー・産業技術総合開発機構法の一部を改正する法律
332AC0000000026_20220101_503AC0000000011	2022-01-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20220101_502AC0000000008	2022-01-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20211220_503AC0000000011	2021-12-20	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20211122_503AC0000000046	2021-11-22	PreviousEnforced	令和三年法律第四十六号	新型コロナウイルス感染症等の影響による社会経済情勢の変化に対応して金融の機能の強化及び安定の確保を図るための銀行法等の一部を改正する法律
332AC0000000026_20211122_503AC0000000011	2021-11-22	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20211001_503AC0000000011	2021-10-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210820_503AC0000000011	2021-08-20	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210802_503AC0000000011	2021-08-02	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210616_503AC0000000011	2021-06-16	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210528_503AC0000000011	2021-05-28	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210519_503AC0000000037	2021-05-19	PreviousEnforced	令和三年法律第三十七号	デジタル社会の形成を図るための関係法律の整備に関する法律
332AC0000000026_20210501_503AC0000000011	2021-05-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210401_503AC1000000019	2021-04-01	PreviousEnforced	令和三年法律第十九号	過疎地域の持続的発展の支援に関する特別措置法
332AC0000000026_20210401_503AC0000000011	2021-04-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210401_502AC0000000008	2021-04-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20210331_503AC0000000011	2021-03-31	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
332AC0000000026_20210101_502AC0000000008	2021-01-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20210101_431AC0000000006	2021-01-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
