law_id: 332CO0000000043
law_num: 昭和三十二年政令第四十三号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
332CO0000000043_21171231_429CO0000000007	2117-12-31	UnEnforced	平成二十九年政令第七号	畜産物の価格安定に関する法律施行令等の一部を改正する政令
332CO0000000043_20280401_508CO0000000098	2028-04-01	UnEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20280101_508CO0000000098	2028-01-01	UnEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20270526_508CO0000000098	2027-05-26	UnEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20270101_508CO0000000098	2027-01-01	UnEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20270101_507CO0000000127	2027-01-01	UnEnforced	令和七年政令第百二十七号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20261201_508CO0000000098	2026-12-01	UnEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20261126_508CO0000000098	2026-11-26	UnEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20261101_507CO0000000127	2026-11-01	UnEnforced	令和七年政令第百二十七号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20260731_508CO0000000098	2026-07-31	PreviousEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20260522_508CO0000000098	2026-05-22	PreviousEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20260501_508CO0000000098	2026-05-01	PreviousEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20260401_508CO0000000098	2026-04-01	PreviousEnforced	令和八年政令第九十八号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20260401_508CO0000000085	2026-04-01	PreviousEnforced	令和八年政令第八十五号	関税定率法等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令
332CO0000000043_20260401_507CO0000000127	2026-04-01	PreviousEnforced	令和七年政令第百二十七号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20260401_506CO0000000151	2026-04-01	PreviousEnforced	令和六年政令第百五十一号	租税特別措置法施行令の一部を改正する政令
332CO0000000043_20260101_507CO0000000277	2026-01-01	PreviousEnforced	令和七年政令第二百七十七号	租税特別措置法施行令の一部を改正する政令
