law_id: 325AC0000000073
law_num: 昭和二十五年法律第七十三号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
325AC0000000073_20270101_506AC0000000008	2027-01-01	UnEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
325AC0000000073_20270101_505AC0000000003	2027-01-01	UnEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
325AC0000000073_20260401_506AC0000000008	2026-04-01	CurrentEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
325AC0000000073_20250601_504AC0000000068	2025-06-01	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄
325AC0000000073_20240401_506AC0000000008	2024-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
325AC0000000073_20240301_504AC0000000004	2024-03-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
325AC0000000073_20240101_505AC0000000003	2024-01-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
325AC0000000073_20240101_504AC0000000004	2024-01-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
325AC0000000073_20230401_505AC0000000003	2023-04-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
325AC0000000073_20230401_503AC0000000024	2023-04-01	PreviousEnforced	令和三年法律第二十四号	民法等の一部を改正する法律
325AC0000000073_20220617_504AC0000000068	2022-06-17	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律
325AC0000000073_20220401_504AC0000000004	2022-04-01	PreviousEnforced	令和四年法律第四号	所得税法等の一部を改正する法律
325AC0000000073_20220401_502AC0000000008	2022-04-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
325AC0000000073_20220401_431AC0000000006	2022-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
325AC0000000073_20210401_503AC0000000011	2021-04-01	PreviousEnforced	令和三年法律第十一号	所得税法等の一部を改正する法律
325AC0000000073_20210301_501AC0000000071	2021-03-01	PreviousEnforced	令和元年法律第七十一号	会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
325AC0000000073_20210101_430AC0000000007	2021-01-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
325AC0000000073_20200401_502AC0000000008	2020-04-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
325AC0000000073_20200401_431AC0000000006	2020-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
325AC0000000073_20200401_429AC0000000045	2020-04-01	PreviousEnforced	平成二十九年法律第四十五号	民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
325AC0000000073_20191216_501AC0000000016	2019-12-16	PreviousEnforced	令和元年法律第十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律
325AC0000000073_20191214_501AC0000000037	2019-12-14	PreviousEnforced	令和元年法律第三十七号	成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律
325AC0000000073_20191211_501AC0000000071	2019-12-11	PreviousEnforced	令和元年法律第七十一号	会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
325AC0000000073_20190914_501AC0000000037	2019-09-14	PreviousEnforced	令和元年法律第三十七号	成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律
325AC0000000073_20190701_431AC0000000006	2019-07-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
325AC0000000073_20190614_501AC0000000037	2019-06-14	PreviousEnforced	令和元年法律第三十七号	成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律
325AC0000000073_20190401_431AC0000000006	2019-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
325AC0000000073_20180401_430AC0000000007	2018-04-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
325AC0000000073_20180401_429AC0000000004	2018-04-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
325AC0000000073_20180101_427AC0000000009	2018-01-01	PreviousEnforced	平成二十七年法律第九号	所得税法等の一部を改正する法律
325AC0000000073_20171001_429AC0000000004	2017-10-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
325AC0000000073_20170602_429AC0000000045	2017-06-02	PreviousEnforced	平成二十九年法律第四十五号	民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
325AC0000000073_20170401_429AC0000000004	2017-04-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
