law_id: 325CO0000000071
law_num: 昭和二十五年政令第七十一号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
325CO0000000071_20260401_506CO0000000143	2026-04-01	CurrentEnforced	令和六年政令第百四十三号	相続税法施行令の一部を改正する政令
325CO0000000071_20250401_507CO0000000123	2025-04-01	PreviousEnforced	令和七年政令第百二十三号	相続税法施行令の一部を改正する政令
325CO0000000071_20250401_507CO0000000006	2025-04-01	PreviousEnforced	令和七年政令第六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令
325CO0000000071_20240401_506CO0000000143	2024-04-01	PreviousEnforced	令和六年政令第百四十三号	相続税法施行令の一部を改正する政令
325CO0000000071_20240101_505CO0000000136	2024-01-01	PreviousEnforced	令和五年政令第百三十六号	相続税法施行令の一部を改正する政令
325CO0000000071_20230401_505CO0000000136	2023-04-01	PreviousEnforced	令和五年政令第百三十六号	相続税法施行令の一部を改正する政令
325CO0000000071_20220501_503CO0000000229	2022-05-01	PreviousEnforced	令和三年政令第二百二十九号	年金制度の機能強化のための国民年金法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令
325CO0000000071_20220401_502CO0000000207	2022-04-01	PreviousEnforced	令和二年政令第二百七号	法人税法施行令等の一部を改正する政令
325CO0000000071_20210401_503CO0000000115	2021-04-01	PreviousEnforced	令和三年政令第百十五号	相続税法施行令の一部を改正する政令
325CO0000000071_20201201_502CO0000000217	2020-12-01	PreviousEnforced	令和二年政令第二百十七号	漁業法等の一部を改正する等の法律の施行に伴う関係政令の整備及び経過措置に関する政令
325CO0000000071_20200401_431CO0000000098	2020-04-01	PreviousEnforced	平成三十一年政令第九十八号	相続税法施行令の一部を改正する政令
325CO0000000071_20200401_430CO0000000183	2020-04-01	PreviousEnforced	平成三十年政令第百八十三号	民法の一部を改正する法律及び民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律の施行に伴う関係政令の整備に関する政令
325CO0000000071_20191001_431CO0000000098	2019-10-01	PreviousEnforced	平成三十一年政令第九十八号	相続税法施行令の一部を改正する政令
325CO0000000071_20190701_431CO0000000098	2019-07-01	PreviousEnforced	平成三十一年政令第九十八号	相続税法施行令の一部を改正する政令
325CO0000000071_20190401_431CO0000000098	2019-04-01	PreviousEnforced	平成三十一年政令第九十八号	相続税法施行令の一部を改正する政令
325CO0000000071_20190401_430CO0000000134	2019-04-01	PreviousEnforced	平成三十年政令第百三十四号	相続税法施行令の一部を改正する政令
325CO0000000071_20180901_430CO0000000134	2018-09-01	PreviousEnforced	平成三十年政令第百三十四号	相続税法施行令の一部を改正する政令
325CO0000000071_20180401_430CO0000000134	2018-04-01	PreviousEnforced	平成三十年政令第百三十四号	相続税法施行令の一部を改正する政令
325CO0000000071_20180101_427CO0000000144	2018-01-01	PreviousEnforced	平成二十七年政令第百四十四号	相続税法施行令の一部を改正する政令
325CO0000000071_20170401_429CO0000000108	2017-04-01	PreviousEnforced	平成二十九年政令第百八号	相続税法施行令の一部を改正する政令
